,model_id,auc,logloss,mean_per_class_error,rmse,mse
0,GBM_grid_0_AutoML_20181010_200955_model_25,0.9221783047870004,0.3830485571066475,0.14084321475625824,0.34233094163287026,0.1171904735992476
1,GBM_grid_0_AutoML_20181010_200955_model_8,0.9194554238032501,0.3670407645046923,0.14238032498902065,0.3366860440473296,0.11335749225624038
2,GLM_grid_0_AutoML_20181010_200955_model_0,0.9170838823012736,0.37054439675779743,0.13873517786561265,0.3360371792842073,0.1129209858612865
3,GBM_grid_0_AutoML_20181010_200955_model_27,0.9166447079490556,0.3713327244756184,0.14519104084321474,0.34028555119440923,0.1157942563516829
4,DeepLearning_grid_0_AutoML_20181010_200955_model_0,0.9145366710584102,0.5098868340603004,0.15753184014053578,0.3627669549797559,0.13159986362528425
5,DeepLearning_grid_0_AutoML_20181010_200955_model_6,0.9137461572244179,0.4835371870209038,0.16201141853315765,0.3655255362570611,0.13360891765601213
6,GBM_grid_0_AutoML_20181010_200955_model_28,0.9127799736495388,0.3778619499206908,0.13873517786561265,0.34488103871560977,0.1189429308655579
7,GBM_grid_0_AutoML_20181010_200955_model_10,0.9124286341677644,0.584940928018979,0.15318401405357926,0.4437439373467425,0.19690868193198968
8,DeepLearning_grid_0_AutoML_20181010_200955_model_5,0.9115502854633291,0.5254828336000451,0.15977162933684674,0.37111587609410257,0.13772699348909329
9,DeepLearning_grid_0_AutoML_20181010_200955_model_9,0.907246376811594,0.4627181706386229,0.1488361879666227,0.3552477883974038,0.12620099116124658
10,GBM_grid_0_AutoML_20181010_200955_model_1,0.9055775142731664,0.38721314798247225,0.16930171277997366,0.3510094264817569,0.12320761747905193
11,GBM_grid_0_AutoML_20181010_200955_model_2,0.9015371102327624,0.3993508623088495,0.16706192358366273,0.3552247472974622,0.12618462109254586
12,StackedEnsemble_BestOfFamily_0_AutoML_20181010_200955,0.9015371102327624,0.38300721349706607,0.1336846728151076,0.3398081370124164,0.11546956997984915
13,GBM_grid_0_AutoML_20181010_200955_model_14,0.9011857707509882,0.5954466993620734,0.16117698726394378,0.44937674694293894,0.20193946069301824
14,DeepLearning_grid_0_AutoML_20181010_200955_model_8,0.9011857707509882,0.5959153079154864,0.15753184014053578,0.3747861349912452,0.14046464698167585
15,GBM_grid_0_AutoML_20181010_200955_model_22,0.9010979358805448,0.4005678667952582,0.16903820816864296,0.3605549380977325,0.12999986338665973
16,StackedEnsemble_AllModels_0_AutoML_20181010_200955,0.898989898989899,0.3977399730321479,0.15177865612648225,0.34906757363679497,0.12184817096467927
17,GBM_grid_0_AutoML_20181010_200955_model_3,0.8972332015810277,0.4097855241486424,0.16271409749670618,0.3605747055106459,0.13001411825408904
18,DeepLearning_grid_0_AutoML_20181010_200955_model_11,0.8967940272288099,0.5444904578484518,0.1771629336846728,0.3705718131266027,0.13732346868393774
19,GBM_grid_0_AutoML_20181010_200955_model_4,0.8958278436539306,0.4123503246840506,0.16117698726394378,0.35604326246626505,0.12676680474762167
20,GBM_grid_0_AutoML_20181010_200955_model_6,0.8951251646903821,0.41242036629240897,0.17211242863416776,0.3626589251946151,0.13152149602331342
21,DeepLearning_0_AutoML_20181010_200955,0.89433465085639,0.42169415144492894,0.14602547211242864,0.3534829999084467,0.12495023122427495
22,DeepLearning_grid_0_AutoML_20181010_200955_model_10,0.8938954765041721,0.6508866751253051,0.1792709705753184,0.3957061718242791,0.1565833744198259
23,DRF_0_AutoML_20181010_200955,0.8934123847167326,0.40176765402204656,0.16930171277997366,0.3624379900197004,0.13136129660952045
24,GBM_grid_0_AutoML_20181010_200955_model_23,0.8928414580588494,0.41326956953559824,0.1792709705753184,0.3637074213312401,0.13228308833142022
25,GBM_grid_0_AutoML_20181010_200955_model_26,0.8875713658322354,0.5394820298771345,0.1902064119455424,0.41969345440845135,0.17614259567329882
26,GBM_grid_0_AutoML_20181010_200955_model_12,0.8875713658322354,0.6419449474511117,0.17224418093983312,0.4739138258538144,0.2245943143353996
27,DeepLearning_grid_0_AutoML_20181010_200955_model_3,0.8868686868686869,0.5965105816539642,0.18880105401844527,0.3999100578797856,0.15992805439341345
28,GBM_grid_0_AutoML_20181010_200955_model_19,0.8824769433465086,0.6405426563794516,0.19833113746157224,0.4731952627810307,0.22391375671840869
29,DeepLearning_grid_0_AutoML_20181010_200955_model_12,0.8805445761967501,0.9096104486684854,0.2070267896354853,0.42652848043773206,0.1819265446245207
30,DeepLearning_grid_0_AutoML_20181010_200955_model_2,0.8774703557312252,0.4623449589985588,0.19903381642512075,0.3800887024062939,0.14446742169690024
31,GBM_grid_0_AutoML_20181010_200955_model_21,0.8762406675450153,0.635670243390228,0.19033816425120773,0.47064091571623207,0.22150287154621334
32,GBM_grid_0_AutoML_20181010_200955_model_13,0.8757575757575758,1.0189469013244266,0.17940272288098374,0.4248261369055575,0.18047724659809947
33,DeepLearning_grid_0_AutoML_20181010_200955_model_1,0.8746596398770312,0.8809709371108833,0.19666227492314448,0.4237772229588368,0.17958713469870366
34,DeepLearning_grid_0_AutoML_20181010_200955_model_13,0.8740447957839262,0.48827917749737204,0.1960913482652613,0.3917157134091479,0.15344120013163765
35,DeepLearning_grid_0_AutoML_20181010_200955_model_4,0.8726394378568291,0.7814371746110785,0.19244620114185326,0.4115997736995599,0.1694143737095289
36,GBM_grid_0_AutoML_20181010_200955_model_9,0.8708388230127361,0.6325441290565138,0.199604743083004,0.4690702714296768,0.2200269195391107
37,XRT_0_AutoML_20181010_200955,0.8691260430390865,0.4431536488336795,0.19090909090909086,0.3817470454892095,0.14573080673974054
38,GBM_grid_0_AutoML_20181010_200955_model_11,0.8674571805006587,0.6420488182626073,0.21501976284584973,0.4739804861777108,0.2246575012772591
39,GBM_grid_0_AutoML_20181010_200955_model_15,0.8664909969257796,0.4887764098214869,0.2134826526130874,0.390930307571508,0.1528265053779539
40,GBM_grid_0_AutoML_20181010_200955_model_16,0.8647342995169082,0.7794909468765386,0.2294685990338164,0.4311210815978965,0.18586538699814012
41,DeepLearning_grid_0_AutoML_20181010_200955_model_7,0.862977602108037,1.035802677805338,0.21783047870004396,0.4312867815694733,0.18600828795655452
42,GBM_grid_0_AutoML_20181010_200955_model_0,0.8567413263065436,0.5273052798965272,0.21910408432147566,0.40796440630230896,0.16643495680959544
43,GBM_grid_0_AutoML_20181010_200955_model_24,0.6919631093544137,0.6836894075922406,0.4194993412384717,0.4952688725961226,0.2452912561626344
44,GBM_grid_0_AutoML_20181010_200955_model_5,0.6902942468159858,0.683686283898965,0.4217391304347826,0.49526791037008894,0.2452903030423545
